,Community,Suburb,Municipality,Province
341,Region F,Southfork,City of Johannesburg,Gauteng
342,Region F,Southgate,City of Johannesburg,Gauteng
343,Region F,Spes Bona,City of Johannesburg,Gauteng
344,Region F,Springfield,City of Johannesburg,Gauteng
345,Region F,Stafford,City of Johannesburg,Gauteng
346,Region F,Steeledale,City of Johannesburg,Gauteng
347,Region F,Suideroord,City of Johannesburg,Gauteng
348,Region F,The Gables,City of Johannesburg,Gauteng
349,Region F,The Hill,City of Johannesburg,Gauteng
350,Region F,Theta,City of Johannesburg,Gauteng
351,Region F,Towerby,City of Johannesburg,Gauteng
352,Region F,Townsview,City of Johannesburg,Gauteng
353,Region F,Troyeville,City of Johannesburg,Gauteng
354,Region F,Tulisa Park,City of Johannesburg,Gauteng
355,Region F,Turf Club,City of Johannesburg,Gauteng
356,Region F,Turffontein,City of Johannesburg,Gauteng
357,Region F,Village Main,City of Johannesburg,Gauteng
358,Region F,Yeoville,City of Johannesburg,Gauteng
360,Region G,Eldorado Park,City of Johannesburg,Gauteng
361,Region G,Ennerdale,City of Johannesburg,Gauteng
362,Region G,Lawley,City of Johannesburg,Gauteng
363,Region G,Lenasia,City of Johannesburg,Gauteng
364,Region G,Orange Farm,City of Johannesburg,Gauteng
